ID,Group,Age,Gender,Occupation,Experience with JavaScript,Experience with Jest,Which OS do you use?,Please specify your level of agreement: [I had enough time to finish implementing the class],Please specify your level of agreement: [I had enough time to finish testing the class],Please specify your level of agreement: [It was easy to implement the target class.],Please specify your level of agreement: [I have produced a good implementation.],Please specify your level of agreement: [I have produced a good test suite.],Please specify your level of agreement: [I am certain my implementation is correct.],Please specify your level of agreement: [The target class was easy to understand.],Please specify your level of agreement: [I actively tested my code.],Please specify your level of agreement: [I wrote tests during development.],Please specify your level of agreement: [I applied TDD.],Please specify your level of agreement: [The achievement system improved my programming behaviour.],Please specify your level of agreement: [The notifications have spurred me on to make progress.],Please specify your level of agreement: [I would also like to use the plugin in everyday programming myself.],Please specify your level of agreement: [The individual achievements were well described and I knew how to achieve them.],Please specify your level of agreement: [The progress of the individual achievements was visible and easy to understand.],Please specify your level of agreement: [The frequency of notifications was good.],Please specify your level of agreement: [The plugin motivated me to test my code better.],Do you have any suggestions on how to improve the plugin?,Which IDEs do you use?,Exam Grade,Approximated grade
97,Control,22,Male,studente,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Fully disagree,Fully disagree,,,,,,,,,"PyCharm, Visual Studio",26.83,27
98,Control,22,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Partially disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially disagree,,,,,,,,,IntelliJ,26,27
99,Control,24,Male,Student,< 3 months,< 3 months,MacOS,Fully disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Partially disagree,Neither agree nor disagree,Fully disagree,Partially disagree,Partially disagree,,,,,,,,,IntelliJ,31,30
100,Control,24,Male,Student,>= 3 years,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, PyCharm, Visual Studio, VS Code",27,27
101,Control,23,Male,Student,>= 6 months && < 1 year,< 3 months,Windows,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Partially disagree,Neither agree nor disagree,,,,,,,,,Visual Studio,25.1,24
102,Control,22,Male,student,>= 3 months && < 6 months,< 3 months,Windows,Partially disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,IntelliJ,24.5,24
103,Control,22,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,,,,,,,,,VS Code,28.33,27
104,Control,23,Male,Studente,>= 6 months && < 1 year,< 3 months,Windows,Fully agree,Neither agree nor disagree,Partially agree,Partially agree,Fully disagree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,"IntelliJ, Visual Studio, VS Code, Eclipse",28.5,30
105,Control,22,Male,Studente,>= 3 months && < 6 months,< 3 months,Windows,Partially disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,,,,,,,,IntelliJ,20.4,21
106,Control,25,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,,,,,,,,,VS Code,24.03,24
107,Control,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Fully agree,Fully disagree,,,,,,,,,VS Code,32.3,33
108,Control,25,Male,Student,< 3 months,< 3 months,Windows,Fully disagree,Fully disagree,Partially agree,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,,,,,,,,,"Visual Studio, VS Code",21,21
109,Control,25,Female,student,< 3 months,< 3 months,Windows,Fully agree,Partially disagree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Fully disagree,,,,,,,,,VS Code,28.29,27
110,Control,26,Male,studente,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Fully agree,Fully agree,Partially agree,,,,,,,,,VS Code,21.83,21
111,Control,22,Male,student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, PyCharm, CLion, Visual Studio, VS Code, Eclipse",27.63,27
112,Control,23,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,,,,,,,,,IntelliJ,20.56,21
113,Control,23,Female,student,>= 3 months && < 6 months,< 3 months,MacOS,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,IntelliJ,24,24
114,Control,23,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Partially disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,,,,,,,,,VS Code,27.6,27
115,Control,24,Male,Studente,>= 3 months && < 6 months,< 3 months,MacOS,Partially agree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,,,,,,,,,"Webstorm, PyCharm, VS Code",24.83,24
116,Control,24,Male,student & etl worker,< 3 months,< 3 months,Windows,Partially agree,Partially disagree,Partially agree,Partially disagree,Partially agree,Partially disagree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,"CLion, Visual Studio, VS Code",29.33,30
117,Control,23,Male,students,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,,,,,,,,,"IntelliJ, PyCharm, Visual Studio, VS Code, Eclipse, Netbeans",26,27
118,Treatment,23,Male,Student,>= 3 years,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially disagree,Partially disagree,Partially disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,,VS Code,30.1,30
119,Treatment,22,Male,Web Developer,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,"Try to mask a little how a given achievement is incremented, e.g for the achievement asking for more tests, just say ""Look deeper"", to leave some work and thinking to the user","IntelliJ, VS Code",18.7,18
120,Treatment,23,Male,Student,>= 3 years,>= 3 months && < 6 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Fully agree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully agree,Fully agree,Fully disagree,Fully disagree,some achievements make no sense (for example adding 1000 breakpoints),VS Code,29.5,30
121,Treatment,22,Female,student,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,,VS Code,23.7,24
122,Treatment,22,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,,"PyCharm, CLion, VS Code, Eclipse",28.83,30
123,Treatment,22,Female,student,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Partially agree,Partially disagree,Partially disagree,Partially disagree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,IntelliJ,21.5,21
124,Treatment,22,Male,Student,>= 3 years,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully disagree,Partially disagree,Partially agree,Fully disagree,Partially agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,23.8,24
125,Treatment,23,Male,Student & Web Developer,>= 1 year && < 3 years,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially disagree,Fully disagree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,,VS Code,25,24
126,Treatment,26,Male,Student,< 3 months,< 3 months,Windows,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,23,24
127,Treatment,24,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Partially disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Fully agree,show tips for completing them,"Visual Studio, VS Code",24.4,24
128,Treatment,22,Female,student - master computer engineering,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,,IntelliJ,24.38,24
129,Treatment,22,Male,Student,>= 3 years,< 3 months,Linux,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Partially agree,Fully agree,Fully disagree,,Neovim,28.2,27
130,Treatment,23,Female,Student,>= 6 months && < 1 year,>= 6 months && < 1 year,Linux,Fully agree,Fully agree,Fully agree,Partially agree,Partially disagree,Partially disagree,Fully agree,Fully disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,Visual Studio,23.73,24
131,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,Visual Studio,25.5,27
132,Treatment,22,Male,Student,< 3 months,< 3 months,Windows,Fully disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,"IntelliJ, VS Code",31.4,30
133,Treatment,22,Male,Student,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,,"IntelliJ, Webstorm, VS Code",22.8,24
134,Treatment,22,Male,None,>= 3 years,< 3 months,Windows,Partially agree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially disagree,Partially disagree,Fully disagree,Fully disagree,Partially disagree,Partially disagree,Partially disagree,Partially agree,Non ho notato le notifiche,VS Code,30.83,30
135,Treatment,27,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,,"IntelliJ, PyCharm, Visual Studio, VS Code",22,21
136,Treatment,22,Male,Student,< 3 months,< 3 months,Windows,Fully disagree,Fully disagree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,add some animation,Visual Studio,28.5,30
137,Treatment,22,Male,Student,< 3 months,< 3 months,MacOS,Partially agree,Partially disagree,Partially agree,Fully disagree,Fully disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Fully disagree,Fully disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,,Visual Studio,23.9,24
138,Treatment,22,Male,Student,>= 6 months && < 1 year,< 3 months,MacOS,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,IntelliJ,26,27
139,Treatment,26,Male,Student,>= 3 years,< 3 months,MacOS,Fully disagree,Fully disagree,Fully disagree,Fully agree,Fully disagree,Neither agree nor disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully agree,Fully agree,Fully agree,Fully disagree,Wouldn't use it. I don't want gamification in my work environment. The requirements were too generic. Spending time to read and understand the issue before programming is key not TDD after a crappy implementation. Before implementing something 2h reading about the topic is minimum.,VS Code,26.7,27
140,Treatment,24,Female,Student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,,"IntelliJ, VS Code, Eclipse",26.3,27
141,Treatment,26,Male,Student,< 3 months,< 3 months,Linux,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,"Better explanations or usecases on how to achieve certain tasks (like Test Fixer, I couldn't get any)","IntelliJ, VS Code, Emacs",29.5,30
142,Treatment,24,Female,student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially disagree,Partially agree,Partially disagree,Fully disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Fully agree,Partially agree,,VS Code,24,24
143,Treatment,24,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,,"IntelliJ, VS Code",20.9,21
144,Treatment,24,Female,Student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Fully agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,19.83,21
145,Treatment,22,Male,student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully disagree,Partially agree,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Partially agree,Fully disagree,Fully disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially disagree,,IntelliJ,30.33,30
146,Treatment,23,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially disagree,Fully disagree,Neither agree nor disagree,Partially agree,Fully disagree,Partially agree,Fully agree,Neither agree nor disagree,Fully disagree,Fully disagree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,None,"VS Code, Eclipse",19,18
147,Treatment,22,Male,Worker/Student,>= 1 year && < 3 years,< 3 months,MacOS,Fully agree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Fully agree,Partially disagree,Neither agree nor disagree,Partially agree,Fully agree,,"IntelliJ, Webstorm, PyCharm, CLion, Visual Studio, VS Code, Eclipse",26.9,27
148,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially agree,Partially disagree,Partially agree,Partially agree,Fully disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,27.75,27
149,Treatment,22,Female,Student,< 3 months,< 3 months,MacOS,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,,IntelliJ,27.7,27
150,Treatment,22,Female,Student,< 3 months,< 3 months,Windows,Fully disagree,Fully disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,IntelliJ,23.63,24
151,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Partially disagree,Fully agree,Fully agree,Fully disagree,Partially agree,Fully agree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Partially disagree,Partially agree,Partially disagree,Partially agree,,"CLion, VS Code",24.4,24
152,Treatment,23,Male,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,Windows,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully agree,Fully agree,Fully agree,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,,VS Code,27.13,27
153,Treatment,21,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially disagree,Fully agree,Fully agree,Partially disagree,Fully agree,Fully agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,25.1,24
154,Treatment,22,Male,Student,>= 3 years,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Fully agree,Fully agree,,"IntelliJ, Visual Studio, VS Code",22.63,24
155,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially disagree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,,VS Code,26.5,27
156,Treatment,23,Male,Students at Politecino di Torino,< 3 months,< 3 months,Windows,Partially disagree,Fully disagree,Partially agree,Partially agree,Fully disagree,Partially agree,Partially disagree,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Fully agree,Neither agree nor disagree,Fully disagree,,VS Code,28.83,30
157,Treatment,24,Male,Student,< 3 months,< 3 months,Linux,Fully disagree,Fully disagree,Fully agree,Partially disagree,Fully disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,Partially agree,Partially agree,Fully disagree,,VS Code,27.9,27
158,Treatment,23,Male,Student,< 3 months,< 3 months,Windows,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,,"IntelliJ, VS Code",25,24
159,Treatment,23,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Fully agree,Partially agree,Neither agree nor disagree,Fully disagree,Partially disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,,VS Code,27.87,27
160,Treatment,23,Female,student,< 3 months,< 3 months,Linux,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,24.5,24
161,Treatment,22,Male,Student,< 3 months,< 3 months,MacOS,Neither agree nor disagree,Fully disagree,Partially agree,Partially disagree,Fully disagree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,"Proporrei di aggiungere delle notifiche più accattivanti, con la visualizzazione della coppa del grado (bronzo, argento,...)","IntelliJ, Visual Studio",29,30
162,Treatment,23,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Fully agree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,,"VS Code, Netbeans",28.5,30
163,Treatment,24,Male,student,>= 3 months && < 6 months,< 3 months,Windows,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,,"Visual Studio, VS Code",20,21
164,Treatment,22,Male,Student,< 3 months,< 3 months,Windows,Partially disagree,Fully disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Fully agree,Partially disagree,Partially agree,I liked the plugin setup.,Visual Studio,28.5,30
165,Treatment,24,Male,student,< 3 months,< 3 months,Windows,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Fully disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully disagree,Partially agree,,Visual Studio,27.9,27
166,Treatment,22,Male,Student,< 3 months,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,,"IntelliJ, PyCharm, CLion, VS Code, Eclipse",22.3,21
167,Treatment,22,Male,Student,>= 1 year && < 3 years,>= 3 months && < 6 months,MacOS,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,Fully agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,,Visual Studio,26.5,27
168,Treatment,26,Male,Student,>= 3 years,>= 3 months && < 6 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Fully agree,Fully disagree,Fully disagree,Neither agree nor disagree,Fully disagree,Fully disagree,Fully agree,Partially agree,Partially agree,Partially agree,,"IntelliJ, VS Code",29.33,30
169,Treatment,23,Male,Student,< 3 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,,IntelliJ,28.33,27
170,Treatment,23,Female,student ,>= 6 months && < 1 year,< 3 months,MacOS,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Partially agree,Fully disagree,Partially agree,,"IntelliJ, VS Code",24.83,24
171,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Partially agree,,VS Code,25.5,27
172,Treatment,22,Male,Student,< 3 months,< 3 months,MacOS,Fully agree,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Partially agree,Fully disagree,Fully disagree,Partially agree,,VS Code,28,27
173,Treatment,26,Male,Student,>= 1 year && < 3 years,>= 3 months && < 6 months,MacOS,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,,IntelliJ,25.33,24
174,Treatment,23,Male,student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,,"IntelliJ, VS Code",24,24
175,Treatment,22,Male,Student,>= 3 years,>= 6 months && < 1 year,Windows,Partially disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,"IntelliJ, VS Code",26.52,27
176,Treatment,24,Male,Student,>= 1 year && < 3 years,< 3 months,Linux,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully agree,Partially agree,Partially agree,Fully disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially disagree,,"IntelliJ, Webstorm, PyCharm, CLion",24.63,24
